X1,X2,Range,Packets Received,
548.81,715.19,50,0
544.88,602.76,50,0
423.65,645.89,50,0
437.59,891.77,50,0
383.44,963.66,50,0
528.89,791.73,50,0
568.04,925.6,50,0
71.04,87.13,50,1
20.22,832.62,50,0
778.16,870.01,50,0
799.16,978.62,50,0
461.48,780.53,50,0
118.27,639.92,50,0
143.35,944.67,50,0
414.66,521.85,50,0
264.56,774.23,50,0
456.15,568.43,50,0
18.79,617.64,50,0
612.1,616.93,50,1
681.82,943.75,50,0
359.51,437.03,50,0
60.23,697.63,50,0
666.77,670.64,50,1
128.93,210.38,50,0
315.43,363.71,50,1
438.6,570.2,50,0
102.04,988.37,50,0
161.31,208.88,50,1
253.29,653.11,50,0
244.43,466.31,50,0
110.38,158.97,50,1
138.18,656.33,50,0
196.58,368.73,50,0
97.1,820.99,50,0
96.1,837.94,50,0
468.65,976.46,50,0
604.85,976.76,50,0
39.19,739.26,50,0
120.2,282.81,50,0
118.73,296.14,50,0
317.98,414.26,50,0
64.15,692.47,50,0
265.39,566.6,50,0
93.94,523.25,50,0
575.95,929.3,50,0
318.57,667.41,50,0
131.8,716.33,50,0
183.19,289.41,50,0
20.11,586.51,50,0
4.7,828.94,50,0
270.01,677.82,50,0
735.19,962.19,50,0
248.75,576.16,50,0
572.25,592.04,50,1
223.08,952.75,50,0
447.13,846.41,50,0
297.44,699.48,50,0
396.51,813.8,50,0
581.27,881.1,50,0
692.53,881.74,50,0
501.32,725.25,50,0
643.99,956.08,50,0
423.86,606.39,50,0
19.19,301.57,50,0
290.08,660.17,50,0
428.77,618.02,50,0
135.47,298.28,50,0
569.96,590.87,50,1
574.33,653.2,50,0
431.42,652.1,50,0
367.56,896.55,50,0
435.86,891.92,50,0
703.89,806.19,50,0
100.23,919.48,50,0
714.24,998.85,50,0
149.45,868.13,50,0
162.49,615.56,50,0
123.82,848.01,50,0
569.1,807.32,50,0
69.17,407.18,50,0
453.54,697.43,50,0
722.06,866.38,50,0
855.8,975.52,50,0
11.71,359.98,50,0
171.63,729.99,50,0
54.34,521.04,50,0
18.52,200.0,50,0
223.92,793.7,50,0
345.35,928.08,50,0
31.84,704.41,50,0
164.69,621.48,50,0
237.89,577.23,50,0
613.97,934.21,50,0
535.63,589.91,50,0
311.94,730.12,50,0
209.84,398.22,50,0
186.19,944.37,50,0
490.46,739.55,50,0
227.41,254.36,50,1
58.03,434.42,50,0
548.81,715.19,100,0
544.88,602.76,100,1
423.65,645.89,100,0
437.59,891.77,100,0
383.44,963.66,100,0
528.89,791.73,100,0
568.04,925.6,100,0
71.04,87.13,100,1
20.22,832.62,100,0
778.16,870.01,100,1
799.16,978.62,100,0
461.48,780.53,100,0
118.27,639.92,100,0
143.35,944.67,100,0
414.66,521.85,100,0
264.56,774.23,100,0
456.15,568.43,100,0
18.79,617.64,100,0
612.1,616.93,100,1
681.82,943.75,100,0
359.51,437.03,100,1
60.23,697.63,100,0
666.77,670.64,100,1
128.93,210.38,100,1
315.43,363.71,100,1
438.6,570.2,100,0
102.04,988.37,100,0
161.31,208.88,100,1
253.29,653.11,100,0
244.43,466.31,100,0
110.38,158.97,100,1
138.18,656.33,100,0
196.58,368.73,100,0
97.1,820.99,100,0
96.1,837.94,100,0
468.65,976.46,100,0
604.85,976.76,100,0
39.19,739.26,100,0
120.2,282.81,100,0
118.73,296.14,100,0
317.98,414.26,100,1
64.15,692.47,100,0
265.39,566.6,100,0
93.94,523.25,100,0
575.95,929.3,100,0
318.57,667.41,100,0
131.8,716.33,100,0
183.19,289.41,100,0
20.11,586.51,100,0
4.7,828.94,100,0
270.01,677.82,100,0
735.19,962.19,100,0
248.75,576.16,100,0
572.25,592.04,100,1
223.08,952.75,100,0
447.13,846.41,100,0
297.44,699.48,100,0
396.51,813.8,100,0
581.27,881.1,100,0
692.53,881.74,100,0
501.32,725.25,100,0
643.99,956.08,100,0
423.86,606.39,100,0
19.19,301.57,100,0
290.08,660.17,100,0
428.77,618.02,100,0
135.47,298.28,100,0
569.96,590.87,100,1
574.33,653.2,100,1
431.42,652.1,100,0
367.56,896.55,100,0
435.86,891.92,100,0
703.89,806.19,100,0
100.23,919.48,100,0
714.24,998.85,100,0
149.45,868.13,100,0
162.49,615.56,100,0
123.82,848.01,100,0
569.1,807.32,100,0
69.17,407.18,100,0
453.54,697.43,100,0
722.06,866.38,100,0
855.8,975.52,100,0
11.71,359.98,100,0
171.63,729.99,100,0
54.34,521.04,100,0
18.52,200.0,100,0
223.92,793.7,100,0
345.35,928.08,100,0
31.84,704.41,100,0
164.69,621.48,100,0
237.89,577.23,100,0
613.97,934.21,100,0
535.63,589.91,100,1
311.94,730.12,100,0
209.84,398.22,100,0
186.19,944.37,100,0
490.46,739.55,100,0
227.41,254.36,100,1
58.03,434.42,100,0
548.81,715.19,150,0
544.88,602.76,150,1
423.65,645.89,150,0
437.59,891.77,150,0
383.44,963.66,150,0
528.89,791.73,150,0
568.04,925.6,150,0
71.04,87.13,150,1
20.22,832.62,150,0
778.16,870.01,150,1
799.16,978.62,150,0
461.48,780.53,150,0
118.27,639.92,150,0
143.35,944.67,150,0
414.66,521.85,150,1
264.56,774.23,150,0
456.15,568.43,150,1
18.79,617.64,150,0
612.1,616.93,150,1
681.82,943.75,150,0
359.51,437.03,150,1
60.23,697.63,150,0
666.77,670.64,150,1
128.93,210.38,150,1
315.43,363.71,150,1
438.6,570.2,150,1
102.04,988.37,150,0
161.31,208.88,150,1
253.29,653.11,150,0
244.43,466.31,150,0
110.38,158.97,150,1
138.18,656.33,150,0
196.58,368.73,150,0
97.1,820.99,150,0
96.1,837.94,150,0
468.65,976.46,150,0
604.85,976.76,150,0
39.19,739.26,150,0
120.2,282.81,150,0
118.73,296.14,150,0
317.98,414.26,150,1
64.15,692.47,150,0
265.39,566.6,150,0
93.94,523.25,150,0
575.95,929.3,150,0
318.57,667.41,150,0
131.8,716.33,150,0
183.19,289.41,150,1
20.11,586.51,150,0
4.7,828.94,150,0
270.01,677.82,150,0
735.19,962.19,150,0
248.75,576.16,150,0
572.25,592.04,150,1
223.08,952.75,150,0
447.13,846.41,150,0
297.44,699.48,150,0
396.51,813.8,150,0
581.27,881.1,150,0
692.53,881.74,150,0
501.32,725.25,150,0
643.99,956.08,150,0
423.86,606.39,150,0
19.19,301.57,150,0
290.08,660.17,150,0
428.77,618.02,150,0
135.47,298.28,150,0
569.96,590.87,150,1
574.33,653.2,150,1
431.42,652.1,150,0
367.56,896.55,150,0
435.86,891.92,150,0
703.89,806.19,150,1
100.23,919.48,150,0
714.24,998.85,150,0
149.45,868.13,150,0
162.49,615.56,150,0
123.82,848.01,150,0
569.1,807.32,150,0
69.17,407.18,150,0
453.54,697.43,150,0
722.06,866.38,150,1
855.8,975.52,150,1
11.71,359.98,150,0
171.63,729.99,150,0
54.34,521.04,150,0
18.52,200.0,150,0
223.92,793.7,150,0
345.35,928.08,150,0
31.84,704.41,150,0
164.69,621.48,150,0
237.89,577.23,150,0
613.97,934.21,150,0
535.63,589.91,150,1
311.94,730.12,150,0
209.84,398.22,150,0
186.19,944.37,150,0
490.46,739.55,150,0
227.41,254.36,150,1
58.03,434.42,150,0
548.81,715.19,200,1
544.88,602.76,200,1
423.65,645.89,200,0
437.59,891.77,200,0
383.44,963.66,200,0
528.89,791.73,200,0
568.04,925.6,200,0
71.04,87.13,200,1
20.22,832.62,200,0
778.16,870.01,200,1
799.16,978.62,200,1
461.48,780.53,200,0
118.27,639.92,200,0
143.35,944.67,200,0
414.66,521.85,200,1
264.56,774.23,200,0
456.15,568.43,200,1
18.79,617.64,200,0
612.1,616.93,200,1
681.82,943.75,200,0
359.51,437.03,200,1
60.23,697.63,200,0
666.77,670.64,200,1
128.93,210.38,200,1
315.43,363.71,200,1
438.6,570.2,200,1
102.04,988.37,200,0
161.31,208.88,200,1
253.29,653.11,200,0
244.43,466.31,200,0
110.38,158.97,200,1
138.18,656.33,200,0
196.58,368.73,200,1
97.1,820.99,200,0
96.1,837.94,200,0
468.65,976.46,200,0
604.85,976.76,200,0
39.19,739.26,200,0
